Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG,RDPG,WPG
BOS,AL,1991,731,712,84,0.34,0.401,0.269,0,,,162,,,0.117,0.519
CAL,AL,1991,653,649,81,0.314,0.374,0.255,0,,,162,,,0.025,0.5
CHC,NL,1991,695,734,77,0.309,0.39,0.253,0,,,160,,,-0.244,0.481
CHW,AL,1991,758,681,87,0.336,0.391,0.262,0,,,162,,,0.475,0.537
CIN,NL,1991,689,691,74,0.32,0.403,0.258,0,,,162,,,-0.012,0.457
CLE,AL,1991,576,759,57,0.313,0.35,0.254,0,,,162,,,-1.13,0.352
DET,AL,1991,817,794,84,0.333,0.416,0.247,0,,,162,,,0.142,0.519
HOU,NL,1991,605,717,65,0.309,0.347,0.244,0,,,162,,,-0.691,0.401
KCR,AL,1991,727,722,82,0.328,0.394,0.264,0,,,162,,,0.031,0.506
LAD,NL,1991,665,565,93,0.326,0.359,0.253,0,,,162,,,0.617,0.574
MIL,AL,1991,799,744,83,0.336,0.396,0.271,0,,,162,,,0.34,0.512
MIN,AL,1991,776,652,95,0.344,0.42,0.28,1,2,1,162,,,0.765,0.586
MON,NL,1991,579,655,71,0.308,0.357,0.246,0,,,161,,,-0.472,0.441
NYM,NL,1991,640,646,77,0.317,0.365,0.244,0,,,161,,,-0.037,0.478
NYY,AL,1991,674,777,71,0.316,0.387,0.256,0,,,162,,,-0.636,0.438
OAK,AL,1991,760,776,84,0.331,0.389,0.248,0,,,162,,,-0.099,0.519
PHI,NL,1991,629,680,78,0.303,0.358,0.241,0,,,162,,,-0.315,0.481
PIT,NL,1991,768,632,98,0.338,0.398,0.263,1,1,3,162,,,0.84,0.605
SDP,NL,1991,636,646,84,0.31,0.362,0.244,0,,,162,,,-0.062,0.519
SEA,AL,1991,702,674,83,0.328,0.383,0.255,0,,,162,,,0.173,0.512
SFG,NL,1991,649,697,75,0.309,0.381,0.246,0,,,162,,,-0.296,0.463
STL,NL,1991,651,648,84,0.322,0.357,0.255,0,,,162,,,0.019,0.519
TEX,AL,1991,829,814,85,0.341,0.424,0.27,0,,,162,,,0.093,0.525
TOR,AL,1991,684,622,91,0.322,0.4,0.257,1,4,3,162,,,0.383,0.562
ATL,NL,1990,682,821,65,0.311,0.396,0.25,0,,,162,,,-0.858,0.401
BAL,AL,1990,669,698,76,0.33,0.37,0.245,0,,,161,,,-0.18,0.472
BOS,AL,1990,699,664,88,0.344,0.395,0.272,1,4,3,162,,,0.216,0.543
CAL,AL,1990,690,706,80,0.329,0.391,0.26,0,,,162,,,-0.099,0.494
CHC,NL,1990,690,774,77,0.314,0.392,0.263,0,,,162,,,-0.519,0.475
CHW,AL,1990,682,633,94,0.32,0.379,0.258,0,,,162,,,0.302,0.58
CIN,NL,1990,693,597,91,0.325,0.399,0.265,1,3,1,162,,,0.593,0.562
CLE,AL,1990,732,737,77,0.324,0.391,0.267,0,,,162,,,-0.031,0.475
DET,AL,1990,750,754,79,0.337,0.409,0.259,0,,,162,,,-0.025,0.488
HOU,NL,1990,573,656,75,0.313,0.345,0.242,0,,,162,,,-0.512,0.463
KCR,AL,1990,707,709,75,0.328,0.395,0.267,0,,,161,,,-0.012,0.466
LAD,NL,1990,728,685,86,0.328,0.382,0.262,0,,,162,,,0.265,0.531
MIL,AL,1990,732,760,74,0.32,0.384,0.256,0,,,162,,,-0.173,0.457
MIN,AL,1990,666,729,74,0.324,0.385,0.265,0,,,162,,,-0.389,0.457
MON,NL,1990,662,598,85,0.322,0.37,0.25,0,,,162,,,0.395,0.525
NYM,NL,1990,775,613,91,0.323,0.408,0.256,0,,,162,,,1,0.562
NYY,AL,1990,603,749,67,0.3,0.366,0.241,0,,,162,,,-0.901,0.414
OAK,AL,1990,733,570,103,0.336,0.391,0.254,1,1,2,162,,,1.006,0.636
PHI,NL,1990,646,729,77,0.327,0.363,0.255,0,,,162,,,-0.512,0.475
PIT,NL,1990,733,619,95,0.33,0.405,0.259,1,2,3,162,,,0.704,0.586
SDP,NL,1990,673,673,75,0.32,0.38,0.257,0,,,162,,,0,0.463
SEA,AL,1990,640,680,77,0.333,0.373,0.259,0,,,162,,,-0.247,0.475
SFG,NL,1990,719,710,85,0.323,0.396,0.262,0,,,162,,,0.056,0.525
STL,NL,1990,599,698,70,0.32,0.358,0.256,0,,,162,,,-0.611,0.432
TEX,AL,1990,676,696,83,0.331,0.376,0.259,0,,,162,,,-0.123,0.512
TOR,AL,1990,767,661,86,0.328,0.419,0.265,0,,,162,,,0.654,0.531
ATL,NL,1989,584,680,63,0.298,0.35,0.234,0,,,161,,,-0.596,0.391
BAL,AL,1989,708,686,87,0.326,0.379,0.252,0,,,162,,,0.136,0.537
BOS,AL,1989,774,735,83,0.351,0.403,0.277,0,,,162,,,0.241,0.512
CAL,AL,1989,669,578,91,0.311,0.386,0.256,0,,,162,,,0.562,0.562
CHC,NL,1989,702,623,93,0.319,0.387,0.261,1,2,3,162,,,0.488,0.574
CHW,AL,1989,693,750,69,0.328,0.383,0.271,0,,,161,,,-0.354,0.429
CIN,NL,1989,632,691,75,0.309,0.37,0.247,0,,,162,,,-0.364,0.463
CLE,AL,1989,604,654,73,0.31,0.365,0.245,0,,,162,,,-0.309,0.451
DET,AL,1989,617,816,59,0.318,0.351,0.242,0,,,162,,,-1.228,0.364
HOU,NL,1989,647,669,86,0.306,0.345,0.239,0,,,162,,,-0.136,0.531
KCR,AL,1989,690,635,92,0.329,0.373,0.261,0,,,162,,,0.34,0.568
LAD,NL,1989,554,536,77,0.306,0.339,0.24,0,,,160,,,0.113,0.481
MIL,AL,1989,707,679,81,0.318,0.382,0.259,0,,,162,,,0.173,0.5
MIN,AL,1989,740,738,80,0.334,0.402,0.276,0,,,162,,,0.012,0.494
MON,NL,1989,632,630,81,0.319,0.361,0.247,0,,,162,,,0.012,0.5
NYM,NL,1989,683,595,87,0.311,0.385,0.246,0,,,162,,,0.543,0.537
NYY,AL,1989,698,792,74,0.331,0.391,0.269,0,,,161,,,-0.584,0.46
OAK,AL,1989,712,576,99,0.331,0.381,0.261,1,1,1,162,,,0.84,0.611
PHI,NL,1989,629,735,67,0.314,0.364,0.243,0,,,163,,,-0.65,0.411
PIT,NL,1989,637,680,74,0.311,0.359,0.241,0,,,164,,,-0.262,0.451
SDP,NL,1989,642,626,89,0.319,0.369,0.251,0,,,162,,,0.099,0.549
SEA,AL,1989,694,728,73,0.32,0.384,0.257,0,,,162,,,-0.21,0.451
SFG,NL,1989,699,600,92,0.316,0.39,0.25,1,3,2,162,,,0.611,0.568
STL,NL,1989,632,608,86,0.321,0.363,0.258,0,,,164,,,0.146,0.524
TEX,AL,1989,695,714,83,0.326,0.394,0.263,0,,,162,,,-0.117,0.512
TOR,AL,1989,731,651,89,0.323,0.398,0.26,1,4,3,162,,,0.494,0.549
ATL,NL,1988,555,741,54,0.298,0.348,0.242,0,,,160,,,-1.163,0.338
BAL,AL,1988,550,789,54,0.305,0.359,0.238,0,,,161,,,-1.484,0.335
BOS,AL,1988,813,689,89,0.357,0.42,0.283,1,4,3,162,,,0.765,0.549
CAL,AL,1988,714,771,75,0.321,0.385,0.261,0,,,162,,,-0.352,0.463
CHC,NL,1988,660,694,77,0.31,0.383,0.261,0,,,163,,,-0.209,0.472
CHW,AL,1988,631,757,71,0.303,0.37,0.244,0,,,161,,,-0.783,0.441
CIN,NL,1988,641,596,87,0.309,0.368,0.246,0,,,161,,,0.28,0.54
CLE,AL,1988,666,731,78,0.314,0.387,0.261,0,,,162,,,-0.401,0.481
DET,AL,1988,703,658,88,0.324,0.378,0.25,0,,,162,,,0.278,0.543
HOU,NL,1988,617,631,82,0.306,0.351,0.244,0,,,162,,,-0.086,0.506
KCR,AL,1988,704,648,84,0.321,0.391,0.259,0,,,161,,,0.348,0.522
LAD,NL,1988,628,544,94,0.305,0.352,0.248,1,3,1,162,,,0.519,0.58
MIL,AL,1988,682,616,87,0.314,0.375,0.257,0,,,162,,,0.407,0.537
MIN,AL,1988,759,672,91,0.34,0.421,0.274,0,,,162,,,0.537,0.562
MON,NL,1988,628,592,81,0.309,0.373,0.251,0,,,163,,,0.221,0.497
NYM,NL,1988,703,532,100,0.325,0.396,0.256,1,2,3,160,,,1.069,0.625
NYY,AL,1988,772,748,85,0.333,0.395,0.263,0,,,161,,,0.149,0.528
OAK,AL,1988,800,620,104,0.336,0.399,0.263,1,1,2,162,,,1.111,0.642
PHI,NL,1988,597,734,65,0.306,0.355,0.239,0,,,162,,,-0.846,0.401
PIT,NL,1988,651,616,85,0.317,0.369,0.247,0,,,160,,,0.219,0.531
SDP,NL,1988,594,583,83,0.31,0.351,0.247,0,,,161,,,0.068,0.516
SEA,AL,1988,664,744,68,0.317,0.398,0.257,0,,,161,,,-0.497,0.422
SFG,NL,1988,670,626,83,0.318,0.368,0.248,0,,,162,,,0.272,0.512
STL,NL,1988,578,633,76,0.309,0.337,0.249,0,,,162,,,-0.34,0.469
TEX,AL,1988,637,735,70,0.32,0.368,0.252,0,,,161,,,-0.609,0.435
TOR,AL,1988,763,680,87,0.332,0.419,0.268,0,,,162,,,0.512,0.537
ATL,NL,1987,747,829,69,0.339,0.403,0.258,0,,,161,,,-0.509,0.429
BAL,AL,1987,729,880,67,0.322,0.418,0.258,0,,,162,,,-0.932,0.414
BOS,AL,1987,842,825,78,0.352,0.43,0.278,0,,,162,,,0.105,0.481
CAL,AL,1987,770,803,75,0.326,0.401,0.252,0,,,162,,,-0.204,0.463
CHC,NL,1987,720,801,76,0.326,0.432,0.264,0,,,161,,,-0.503,0.472
CHW,AL,1987,748,746,77,0.319,0.415,0.258,0,,,162,,,0.012,0.475
CIN,NL,1987,783,752,84,0.33,0.427,0.266,0,,,162,,,0.191,0.519
CLE,AL,1987,742,957,61,0.324,0.422,0.263,0,,,162,,,-1.327,0.377
DET,AL,1987,896,735,98,0.349,0.451,0.272,1,1,3,162,,,0.994,0.605
HOU,NL,1987,648,678,76,0.318,0.373,0.253,0,,,162,,,-0.185,0.469
KCR,AL,1987,715,691,83,0.328,0.412,0.262,0,,,162,,,0.148,0.512
LAD,NL,1987,635,675,73,0.309,0.371,0.252,0,,,162,,,-0.247,0.451
MIL,AL,1987,862,817,91,0.346,0.428,0.276,0,,,162,,,0.278,0.562
MIN,AL,1987,786,806,85,0.328,0.43,0.261,1,4,1,162,,,-0.123,0.525
MON,NL,1987,741,720,91,0.328,0.401,0.265,0,,,162,,,0.13,0.562
NYM,NL,1987,823,698,92,0.339,0.434,0.268,0,,,162,,,0.772,0.568
NYY,AL,1987,788,758,89,0.336,0.418,0.262,0,,,162,,,0.185,0.549
OAK,AL,1987,806,789,81,0.333,0.428,0.26,0,,,162,,,0.105,0.5
PHI,NL,1987,702,749,80,0.327,0.41,0.254,0,,,162,,,-0.29,0.494
PIT,NL,1987,723,744,80,0.33,0.403,0.264,0,,,162,,,-0.13,0.494
SDP,NL,1987,668,763,65,0.332,0.378,0.26,0,,,162,,,-0.586,0.401
SEA,AL,1987,760,801,78,0.335,0.428,0.272,0,,,162,,,-0.253,0.481
SFG,NL,1987,783,669,90,0.324,0.43,0.26,1,3,3,162,,,0.704,0.556
STL,NL,1987,798,693,95,0.34,0.378,0.263,1,2,2,162,,,0.648,0.586
TEX,AL,1987,823,849,75,0.333,0.43,0.266,0,,,162,,,-0.16,0.463
TOR,AL,1987,845,655,96,0.336,0.446,0.269,0,,,162,,,1.173,0.593
ATL,NL,1986,615,719,72,0.319,0.381,0.25,0,,,161,,,-0.646,0.447
BAL,AL,1986,708,760,73,0.327,0.395,0.258,0,,,162,,,-0.321,0.451
BOS,AL,1986,794,696,95,0.346,0.415,0.271,1,3,2,161,,,0.609,0.59
CAL,AL,1986,786,684,92,0.338,0.404,0.255,1,4,3,162,,,0.63,0.568
CHC,NL,1986,680,781,70,0.318,0.398,0.256,0,,,160,,,-0.631,0.438
CHW,AL,1986,644,699,72,0.31,0.363,0.247,0,,,162,,,-0.34,0.444
CIN,NL,1986,732,717,86,0.325,0.387,0.254,0,,,162,,,0.093,0.531
CLE,AL,1986,831,841,84,0.337,0.43,0.284,0,,,163,,,-0.061,0.515
DET,AL,1986,798,714,87,0.338,0.424,0.263,0,,,162,,,0.519,0.537
HOU,NL,1986,654,569,96,0.322,0.381,0.255,1,2,3,162,,,0.525,0.593
KCR,AL,1986,654,673,76,0.313,0.39,0.252,0,,,162,,,-0.117,0.469
LAD,NL,1986,638,679,73,0.313,0.37,0.251,0,,,162,,,-0.253,0.451
MIL,AL,1986,667,734,77,0.321,0.385,0.255,0,,,161,,,-0.416,0.478
MIN,AL,1986,741,839,71,0.325,0.428,0.261,0,,,162,,,-0.605,0.438
MON,NL,1986,637,688,78,0.322,0.379,0.254,0,,,161,,,-0.317,0.484
NYM,NL,1986,783,578,108,0.339,0.401,0.263,1,1,1,162,,,1.265,0.667
NYY,AL,1986,797,738,90,0.347,0.43,0.271,0,,,162,,,0.364,0.556
OAK,AL,1986,731,760,76,0.322,0.39,0.252,0,,,162,,,-0.179,0.469
PHI,NL,1986,739,713,86,0.327,0.4,0.253,0,,,161,,,0.161,0.534
PIT,NL,1986,663,700,64,0.321,0.374,0.25,0,,,162,,,-0.228,0.395
SDP,NL,1986,656,723,74,0.321,0.388,0.261,0,,,162,,,-0.414,0.457
SEA,AL,1986,718,835,67,0.326,0.399,0.253,0,,,162,,,-0.722,0.414
SFG,NL,1986,698,618,83,0.322,0.375,0.253,0,,,162,,,0.494,0.512
STL,NL,1986,601,611,79,0.309,0.327,0.236,0,,,161,,,-0.062,0.491
TEX,AL,1986,771,743,87,0.331,0.428,0.267,0,,,162,,,0.173,0.537
TOR,AL,1986,809,733,86,0.329,0.427,0.269,0,,,163,,,0.466,0.528
ATL,NL,1985,632,781,66,0.315,0.363,0.246,0,,,162,,,-0.92,0.407
BAL,AL,1985,818,764,83,0.336,0.43,0.263,0,,,161,,,0.335,0.516
BOS,AL,1985,800,720,81,0.347,0.429,0.282,0,,,163,,,0.491,0.497
CAL,AL,1985,732,703,90,0.333,0.386,0.251,0,,,162,,,0.179,0.556
CHC,NL,1985,686,729,77,0.324,0.39,0.254,0,,,162,,,-0.265,0.475
CHW,AL,1985,736,720,85,0.315,0.392,0.253,0,,,163,,,0.098,0.521
CIN,NL,1985,677,666,89,0.327,0.376,0.255,0,,,162,,,0.068,0.549
CLE,AL,1985,729,861,60,0.324,0.385,0.265,0,,,162,,,-0.815,0.37
DET,AL,1985,729,688,84,0.318,0.424,0.253,0,,,161,,,0.255,0.522
HOU,NL,1985,706,691,83,0.319,0.388,0.261,0,,,162,,,0.093,0.512
KCR,AL,1985,687,639,91,0.313,0.401,0.252,1,4,1,162,,,0.296,0.562
LAD,NL,1985,682,579,95,0.328,0.382,0.261,1,3,3,162,,,0.636,0.586
MIL,AL,1985,690,802,71,0.319,0.379,0.263,0,,,161,,,-0.696,0.441
MIN,AL,1985,705,782,77,0.326,0.407,0.264,0,,,162,,,-0.475,0.475
MON,NL,1985,633,636,84,0.31,0.375,0.247,0,,,161,,,-0.019,0.522
NYM,NL,1985,695,568,98,0.323,0.385,0.257,0,,,162,,,0.784,0.605
NYY,AL,1985,839,660,97,0.344,0.425,0.267,0,,,161,,,1.112,0.602
OAK,AL,1985,757,787,77,0.325,0.401,0.264,0,,,162,,,-0.185,0.475
PHI,NL,1985,667,673,75,0.312,0.383,0.245,0,,,162,,,-0.037,0.463
PIT,NL,1985,568,708,57,0.311,0.347,0.247,0,,,161,,,-0.87,0.354
SDP,NL,1985,650,622,83,0.32,0.368,0.255,0,,,162,,,0.173,0.512
SEA,AL,1985,719,818,74,0.326,0.412,0.255,0,,,162,,,-0.611,0.457
SFG,NL,1985,556,674,62,0.299,0.348,0.233,0,,,162,,,-0.728,0.383
STL,NL,1985,747,572,101,0.335,0.379,0.264,1,1,2,162,,,1.08,0.623
TEX,AL,1985,617,785,62,0.322,0.381,0.253,0,,,161,,,-1.043,0.385
TOR,AL,1985,759,588,99,0.331,0.425,0.269,1,2,3,161,,,1.062,0.615
ATL,NL,1984,632,655,80,0.317,0.361,0.247,0,,,162,,,-0.142,0.494
BAL,AL,1984,681,667,85,0.328,0.391,0.252,0,,,162,,,0.086,0.525
BOS,AL,1984,810,764,86,0.341,0.441,0.283,0,,,162,,,0.284,0.531
CAL,AL,1984,696,697,81,0.319,0.381,0.249,0,,,162,,,-0.006,0.5
CHC,NL,1984,762,658,96,0.331,0.397,0.26,1,2,3,161,,,0.646,0.596
CHW,AL,1984,679,736,74,0.314,0.395,0.247,0,,,162,,,-0.352,0.457
CIN,NL,1984,627,747,70,0.313,0.356,0.244,0,,,162,,,-0.741,0.432
CLE,AL,1984,761,766,75,0.335,0.384,0.265,0,,,163,,,-0.031,0.46
DET,AL,1984,829,643,104,0.342,0.432,0.271,1,1,1,162,,,1.148,0.642
HOU,NL,1984,693,630,80,0.323,0.371,0.264,0,,,162,,,0.389,0.494
KCR,AL,1984,673,686,84,0.317,0.399,0.268,1,4,3,162,,,-0.08,0.519
LAD,NL,1984,580,600,79,0.306,0.348,0.244,0,,,162,,,-0.123,0.488
MIL,AL,1984,641,734,67,0.317,0.37,0.262,0,,,161,,,-0.578,0.416
MIN,AL,1984,673,675,81,0.318,0.385,0.265,0,,,162,,,-0.012,0.5
MON,NL,1984,593,585,78,0.312,0.362,0.251,0,,,161,,,0.05,0.484
NYM,NL,1984,652,676,90,0.32,0.369,0.257,0,,,162,,,-0.148,0.556
NYY,AL,1984,758,679,87,0.339,0.404,0.276,0,,,162,,,0.488,0.537
OAK,AL,1984,738,796,77,0.327,0.404,0.259,0,,,162,,,-0.358,0.475
PHI,NL,1984,720,690,81,0.333,0.407,0.266,0,,,162,,,0.185,0.5
PIT,NL,1984,615,567,75,0.31,0.363,0.255,0,,,162,,,0.296,0.463
SDP,NL,1984,686,634,92,0.317,0.371,0.259,1,3,2,162,,,0.321,0.568
SEA,AL,1984,682,774,74,0.324,0.384,0.258,0,,,162,,,-0.568,0.457
SFG,NL,1984,682,807,66,0.328,0.375,0.265,0,,,162,,,-0.772,0.407
STL,NL,1984,652,645,84,0.317,0.351,0.252,0,,,162,,,0.043,0.519
TEX,AL,1984,656,714,69,0.313,0.377,0.261,0,,,161,,,-0.36,0.429
TOR,AL,1984,750,696,89,0.331,0.421,0.273,0,,,163,,,0.331,0.546
ATL,NL,1983,746,640,88,0.341,0.4,0.272,0,,,162,,,0.654,0.543
BAL,AL,1983,799,652,98,0.34,0.421,0.269,1,2,1,162,,,0.907,0.605
BOS,AL,1983,724,775,78,0.335,0.409,0.27,0,,,162,,,-0.315,0.481
CAL,AL,1983,722,779,70,0.322,0.393,0.26,0,,,162,,,-0.352,0.432
CHC,NL,1983,701,719,71,0.319,0.401,0.261,0,,,162,,,-0.111,0.438
CHW,AL,1983,800,650,99,0.329,0.413,0.262,1,1,3,162,,,0.926,0.611
CIN,NL,1983,623,710,74,0.314,0.356,0.239,0,,,162,,,-0.537,0.457
CLE,AL,1983,704,785,70,0.338,0.369,0.265,0,,,162,,,-0.5,0.432
DET,AL,1983,789,679,92,0.335,0.427,0.274,0,,,162,,,0.679,0.568
HOU,NL,1983,643,646,85,0.32,0.375,0.257,0,,,162,,,-0.019,0.525
KCR,AL,1983,696,767,79,0.32,0.397,0.271,0,,,163,,,-0.436,0.485
LAD,NL,1983,654,609,91,0.318,0.379,0.25,1,3,3,163,,,0.276,0.558
MIL,AL,1983,764,708,87,0.333,0.418,0.277,0,,,162,,,0.346,0.537
MIN,AL,1983,709,822,70,0.319,0.401,0.261,0,,,162,,,-0.698,0.432
MON,NL,1983,677,646,82,0.326,0.386,0.264,0,,,163,,,0.19,0.503
NYM,NL,1983,575,680,68,0.3,0.344,0.241,0,,,162,,,-0.648,0.42
NYY,AL,1983,770,703,91,0.337,0.416,0.273,0,,,162,,,0.414,0.562
OAK,AL,1983,708,782,74,0.326,0.381,0.262,0,,,162,,,-0.457,0.457
PHI,NL,1983,696,635,90,0.329,0.373,0.249,1,4,2,163,,,0.374,0.552
PIT,NL,1983,659,648,84,0.325,0.383,0.264,0,,,162,,,0.068,0.519
SDP,NL,1983,653,653,81,0.311,0.351,0.25,0,,,163,,,0,0.497
SEA,AL,1983,558,740,60,0.301,0.36,0.24,0,,,162,,,-1.123,0.37
SFG,NL,1983,687,697,79,0.325,0.375,0.247,0,,,162,,,-0.062,0.488
STL,NL,1983,679,710,79,0.335,0.384,0.27,0,,,162,,,-0.191,0.488
TEX,AL,1983,639,609,77,0.31,0.366,0.255,0,,,163,,,0.184,0.472
TOR,AL,1983,795,726,89,0.338,0.436,0.277,0,,,162,,,0.426,0.549
ATL,NL,1982,739,702,89,0.325,0.383,0.256,1,4,3,162,,,0.228,0.549
BAL,AL,1982,774,687,94,0.341,0.419,0.266,0,,,163,,,0.534,0.577
BOS,AL,1982,753,713,89,0.34,0.407,0.274,0,,,162,,,0.247,0.549
CAL,AL,1982,814,670,93,0.347,0.433,0.274,1,2,3,162,,,0.889,0.574
CHC,NL,1982,676,709,73,0.317,0.375,0.26,0,,,162,,,-0.204,0.451
CHW,AL,1982,786,710,87,0.337,0.413,0.273,0,,,162,,,0.469,0.537
CIN,NL,1982,545,661,61,0.31,0.35,0.251,0,,,162,,,-0.716,0.377
CLE,AL,1982,683,748,78,0.341,0.373,0.262,0,,,162,,,-0.401,0.481
DET,AL,1982,729,685,83,0.324,0.418,0.266,0,,,162,,,0.272,0.512
HOU,NL,1982,569,620,77,0.302,0.349,0.247,0,,,162,,,-0.315,0.475
KCR,AL,1982,784,717,90,0.337,0.428,0.285,0,,,162,,,0.414,0.556
LAD,NL,1982,691,612,88,0.327,0.388,0.264,0,,,162,,,0.488,0.543
MIL,AL,1982,891,717,95,0.335,0.455,0.279,1,1,2,163,,,1.067,0.583
MIN,AL,1982,657,819,60,0.316,0.396,0.257,0,,,162,,,-1,0.37
MON,NL,1982,697,616,86,0.325,0.396,0.262,0,,,162,,,0.5,0.531
NYM,NL,1982,609,723,65,0.305,0.35,0.247,0,,,162,,,-0.704,0.401
NYY,AL,1982,709,716,79,0.328,0.398,0.256,0,,,162,,,-0.043,0.488
OAK,AL,1982,691,819,68,0.309,0.367,0.236,0,,,162,,,-0.79,0.42
PHI,NL,1982,664,654,89,0.323,0.376,0.26,0,,,162,,,0.062,0.549
PIT,NL,1982,724,696,84,0.327,0.408,0.273,0,,,162,,,0.173,0.519
SDP,NL,1982,675,658,81,0.311,0.359,0.257,0,,,162,,,0.105,0.5
SEA,AL,1982,651,712,76,0.311,0.381,0.254,0,,,162,,,-0.377,0.469
SFG,NL,1982,673,687,87,0.327,0.376,0.253,0,,,162,,,-0.086,0.537
STL,NL,1982,685,609,92,0.334,0.364,0.264,1,3,1,162,,,0.469,0.568
TEX,AL,1982,590,749,64,0.308,0.359,0.249,0,,,162,,,-0.981,0.395
TOR,AL,1982,651,701,78,0.314,0.383,0.262,0,,,162,,,-0.309,0.481
ATL,NL,1980,630,660,81,0.307,0.38,0.25,0,,,161,,,-0.186,0.503
BAL,AL,1980,805,640,100,0.342,0.413,0.273,0,,,162,,,1.019,0.617
BOS,AL,1980,757,767,83,0.34,0.436,0.283,0,,,160,,,-0.063,0.519
CAL,AL,1980,698,797,65,0.332,0.378,0.265,0,,,160,,,-0.619,0.406
CHC,NL,1980,614,728,64,0.309,0.365,0.251,0,,,162,,,-0.704,0.395
CHW,AL,1980,587,722,70,0.311,0.37,0.259,0,,,162,,,-0.833,0.432
CIN,NL,1980,707,670,89,0.327,0.386,0.262,0,,,163,,,0.227,0.546
CLE,AL,1980,738,807,79,0.35,0.381,0.277,0,,,160,,,-0.431,0.494
DET,AL,1980,830,757,84,0.348,0.409,0.273,0,,,163,,,0.448,0.515
HOU,NL,1980,637,589,93,0.326,0.367,0.261,1,3,3,163,,,0.294,0.571
KCR,AL,1980,809,694,97,0.345,0.413,0.286,1,2,2,162,,,0.71,0.599
LAD,NL,1980,663,591,92,0.323,0.388,0.263,0,,,163,,,0.442,0.564
MIL,AL,1980,811,682,86,0.329,0.448,0.275,0,,,162,,,0.796,0.531
MIN,AL,1980,670,724,77,0.319,0.381,0.265,0,,,161,,,-0.335,0.478
MON,NL,1980,694,629,90,0.324,0.388,0.257,0,,,162,,,0.401,0.556
NYM,NL,1980,611,702,67,0.319,0.345,0.257,0,,,162,,,-0.562,0.414
NYY,AL,1980,820,662,103,0.343,0.425,0.267,1,1,3,162,,,0.975,0.636
OAK,AL,1980,686,642,83,0.322,0.385,0.259,0,,,162,,,0.272,0.512
PHI,NL,1980,728,639,91,0.327,0.4,0.27,1,4,1,162,,,0.549,0.562
PIT,NL,1980,666,646,83,0.322,0.388,0.266,0,,,162,,,0.123,0.512
SDP,NL,1980,591,654,73,0.324,0.342,0.255,0,,,163,,,-0.387,0.448
SEA,AL,1980,610,793,59,0.308,0.356,0.248,0,,,163,,,-1.123,0.362
SFG,NL,1980,573,634,75,0.308,0.342,0.244,0,,,161,,,-0.379,0.466
STL,NL,1980,738,710,74,0.328,0.4,0.275,0,,,162,,,0.173,0.457
TEX,AL,1980,756,752,76,0.339,0.405,0.284,0,,,163,,,0.025,0.466
TOR,AL,1980,624,762,67,0.309,0.383,0.251,0,,,162,,,-0.852,0.414
ATL,NL,1979,669,763,66,0.318,0.377,0.256,0,,,160,,,-0.588,0.413
BAL,AL,1979,757,582,102,0.336,0.419,0.261,1,1,2,159,,,1.101,0.642
BOS,AL,1979,841,711,91,0.344,0.456,0.283,0,,,160,,,0.813,0.569
CAL,AL,1979,866,768,88,0.351,0.429,0.282,1,4,3,162,,,0.605,0.543
CHC,NL,1979,706,707,80,0.329,0.403,0.269,0,,,162,,,-0.006,0.494
CHW,AL,1979,730,748,73,0.333,0.41,0.275,0,,,160,,,-0.113,0.456
CIN,NL,1979,731,644,90,0.338,0.396,0.264,1,3,3,161,,,0.54,0.559
CLE,AL,1979,760,805,81,0.34,0.384,0.258,0,,,161,,,-0.28,0.503
DET,AL,1979,770,738,84,0.339,0.415,0.269,0,,,161,,,0.199,0.522
HOU,NL,1979,583,582,89,0.315,0.344,0.256,0,,,162,,,0.006,0.549
KCR,AL,1979,851,816,85,0.343,0.422,0.282,0,,,162,,,0.216,0.525
LAD,NL,1979,739,717,79,0.331,0.412,0.263,0,,,162,,,0.136,0.488
MIL,AL,1979,807,722,95,0.345,0.448,0.28,0,,,161,,,0.528,0.59
MIN,AL,1979,764,725,82,0.341,0.402,0.278,0,,,162,,,0.241,0.506
MON,NL,1979,701,581,95,0.319,0.408,0.264,0,,,160,,,0.75,0.594
NYM,NL,1979,593,706,63,0.313,0.35,0.25,0,,,163,,,-0.693,0.387
NYY,AL,1979,734,672,89,0.328,0.406,0.266,0,,,160,,,0.388,0.556
OAK,AL,1979,573,860,54,0.302,0.346,0.239,0,,,162,,,-1.772,0.333
PHI,NL,1979,683,718,84,0.34,0.396,0.266,0,,,163,,,-0.215,0.515
PIT,NL,1979,775,643,98,0.33,0.416,0.272,1,2,1,163,,,0.81,0.601
SDP,NL,1979,603,681,68,0.311,0.348,0.242,0,,,161,,,-0.484,0.422
SEA,AL,1979,711,820,67,0.331,0.404,0.269,0,,,162,,,-0.673,0.414
SFG,NL,1979,672,751,71,0.319,0.365,0.246,0,,,162,,,-0.488,0.438
STL,NL,1979,731,693,86,0.331,0.401,0.278,0,,,163,,,0.233,0.528
TEX,AL,1979,750,698,83,0.334,0.409,0.278,0,,,162,,,0.321,0.512
TOR,AL,1979,613,862,53,0.311,0.363,0.251,0,,,162,,,-1.537,0.327
ATL,NL,1978,600,750,69,0.315,0.363,0.244,0,,,162,,,-0.926,0.426
BAL,AL,1978,659,633,90,0.326,0.396,0.258,0,,,161,,,0.161,0.559
